D#COD_IBGE,cS#UF,cS#REGIAO,C#IDHM_RENDA_2000,C#PERCAPITA,D#POPULAÇÃO,cS#PERIODICIDADE DAS SESSÕES,D#PROJETOS DE LEI APRESENTADOS
2400604,PE,NORDESTE, 0.51,2288.07,11178,SEMANAL,2
2510303,MG,SUDESTE, 0.51,2289.64,20981,QUINZENAL,4
2913101,PE,NORDESTE, 0.51,2294.92,22131,SEMANAL,4
1501600,TO,NORTE, 0.51,2310.49,4685,MENSAL,2
2612471,CE,NORDESTE, 0.51,2315.35,8385,QUINZENAL,3
1506906,PB,NORDESTE, 0.51,2327.54,10274,QUINZENAL,0
2909000,PE,NORDESTE, 0.51,2329.58,12978,SEMANAL,0
3164506,PB,NORDESTE, 0.51,2353.13,6471,MENSAL,2
1718881,MG,SUDESTE, 0.51,2355.58,5713,QUINZENAL,1
2504801,CE,NORDESTE, 0.51,2366.8,25462,BIMESTRAL,
2611200,RN,NORDESTE, 0.51,2378.14,3002,QUINZENAL,2
3113008,RN,NORDESTE, 0.51,2380.71,6746,,
2600807,RN,NORDESTE, 0.51,2382.7,5597,SEMANAL,1
1717008,PI,NORDESTE, 0.51,2387.41,32858,SEMANAL,12
2304269,RN,NORDESTE, 0.51,2408.78,8329,SEMANAL,0
2511509,PI,NORDESTE, 0.51,2410.79,3397,SEMANAL,10
2605806,PB,NORDESTE, 0.51,2411.07,11833,SEMANAL,6
2513208,CE,NORDESTE, 0.51,2419.87,48968,QUINZENAL,1
3127503,BA,NORDESTE, 0.51,2431.48,15366,SEMANAL,0
2310258,RN,NORDESTE, 0.51,2462.54,2953,SEMANAL,0
2410009,CE,NORDESTE, 0.51,2467.14,18707,SEMANAL,0
2410207,RN,NORDESTE, 0.51,2489.26,4412,SEMANAL,8
2405207,BA,NORDESTE, 0.51,2502.88,19037,SEMANAL,0
2205508,BA,NORDESTE, 0.51,2509.5,7861,SEMANAL,2
2409100,PB,NORDESTE, 0.51,2512.66,6495,SEMANAL,3
2209609,PE,NORDESTE, 0.51,2523.68,24920,BIMESTRAL,0
2500502,PE,NORDESTE, 0.51,2524.42,24065,SEMANAL,15
2300200,BA,NORDESTE, 0.51,2560.93,13422,,
2922706,MG,SUDESTE, 0.51,2564.31,21010,QUINZENAL,0
2410603,PB,NORDESTE, 0.51,2572.34,2960,BIMESTRAL,
2303956,RN,NORDESTE, 0.51,2602.91,4461,SEMANAL,3
2414159,BA,NORDESTE, 0.51,2603.3,31261,,
2909604,CE,NORDESTE, 0.51,2618.85,42375,SEMANAL,18
2916708,PE,NORDESTE, 0.51,2672.11,27554,SEMANAL,13
2504504,SE,NORDESTE, 0.51,2678.82,19973,SEMANAL,20
2603702,PA,NORTE, 0.51,2684.63,46490,MENSAL,8
2614600,PA,NORTE, 0.51,2698.44,52126,SEMANAL,5
2917805,MG,SUDESTE, 0.51,27.25,6490,MENSAL,0
3162708,PB,NORDESTE, 0.51,2704.45,16605,MENSAL,7
2501351,MA,NORDESTE, 0.51,2743.45,16402,SEMANAL,6
2408409,CE,NORDESTE, 0.51,2778.11,35608,QUINZENAL,2
2932507,CE,NORDESTE, 0.51,2784.26,27541,SEMANAL,8
2312205,CE,NORDESTE, 0.51,2785.69,94369,SEMANAL,3
2606101,AM,NORTE, 0.51,28643.85,67096,QUINZENAL,3
2805505,PB,NORDESTE, 0.51,2871.84,3948,QUINZENAL,2
1505106,PE,NORDESTE, 0.51,2886.74,11486,SEMANAL,2
1500206,PE,NORDESTE, 0.51,2903.36,42085,SEMANAL,4
2501906,PB,NORDESTE, 0.51,2928.79,13927,QUINZENAL,10
2112233,MG,SUDESTE, 0.51,2947.62,21959,QUINZENAL,1
2312403,RN,NORDESTE, 0.51,2955.6,3378,SEMANAL,8
2310209,PE,NORDESTE, 0.51,2974.41,31652,SEMANAL,
2306405,PE,NORDESTE, 0.51,2977.98,13649,SEMANAL,0
2512754,BA,NORDESTE, 0.51,30025.66,19006,SEMANAL,3
2606903,MA,NORDESTE, 0.51,3013.69,10365,,
2602100,PE,NORDESTE, 0.51,3080.51,9082,MENSAL,
2511905,BA,NORDESTE, 0.51,3085.74,10775,SEMANAL,2
3139300,SE,NORDESTE, 0.51,3108.91,2182,QUINZENAL,0
2411601,BA,NORDESTE, 0.51,3118.55,20323,BIMESTRAL,
2613503,MG,SUDESTE, 0.51,3142.12,4846,MENSAL,
2612000,SE,NORDESTE, 0.51,3152.26,5519,QUINZENAL,0
1301209,PE,NORDESTE, 0.51,3173.03,14950,SEMANAL,12
2504702,MA,NORDESTE, 0.51,3198.43,11816,SEMANAL,0
2111052,SE,NORDESTE, 0.51,3240.03,3208,SEMANAL,0
2601003,BA,NORDESTE, 0.51,3247.81,10382,SEMANAL,6
2920809,SE,NORDESTE, 0.51,33052.5,3266,,1
2800100,SE,NORDESTE, 0.51,3333.67,9260,QUINZENAL,
2932705,MG,SUDESTE, 0.51,3484.7,5975,QUINZENAL,
3140605,BA,NORDESTE, 0.51,3493.6,17611,SEMANAL,0
2802601,MG,SUDESTE, 0.51,3519.67,9615,SEMANAL,0
2607802,SE,NORDESTE, 0.51,3590.45,5174,QUINZENAL,0
2103257,BA,NORDESTE, 0.51,3629.82,19404,SEMANAL,1
2803807,PB,NORDESTE, 0.51,37.58,4602,QUINZENAL,1
2916609,RN,NORDESTE, 0.51,3741.45,4247,SEMANAL,0
2806800,PE,NORDESTE, 0.51,3768.38,17281,SEMANAL,8
3126802,SE,NORDESTE, 0.51,3867.79,2638,QUINZENAL,0
2908101,MG,SUDESTE, 0.51,3933.39,4192,QUINZENAL,12
3170529,PB,NORDESTE, 0.51,3958.3,3444,SEMANAL,13
2803104,RN,NORDESTE, 0.51,4074.24,27879,SEMANAL,1
2925758,CE,NORDESTE, 0.51,4087.2,16862,SEMANAL,4
2410504,BA,NORDESTE, 0.51,4151.01,14322,,
2614857,PB,NORDESTE, 0.51,4221.36,1334,QUINZENAL,0
2807303,PB,NORDESTE, 0.51,4361.33,14633,SEMANAL,4
3157609,BA,NORDESTE, 0.51,4368.38,7862,SEMANAL,0
2515930,PB,NORDESTE, 0.51,4482.04,18575,SEMANAL,2
2928901,PB,NORDESTE, 0.51,4525.77,4183,SEMANAL,8
2802007,BA,NORDESTE, 0.51,4571.78,24319,MENSAL,6
2414407,AP,NORTE, 0.51,4734.51,2894,SEMANAL,4
2311504,BA,NORDESTE, 0.51,4741.31,12377,QUINZENAL,0
2900306,BA,NORDESTE, 0.51,4754.96,4102,SEMANAL,2
2512788,TO,NORTE, 0.51,4787.51,1189,MENSAL,1
2507101,PB,NORDESTE, 0.51,5043.54,15914,SEMANAL,2
2900900,PI,NORDESTE, 0.51,5228.19,2851,QUINZENAL,0
2500403,BA,NORDESTE, 0.51,5256.26,10377,SEMANAL,50
2504355,PE,NORDESTE, 0.51,5723.49,20172,BIMESTRAL,3
2911808,PE,NORDESTE, 0.51,6395.26,15925,SEMANAL,4
1600253,PE,NORDESTE, 0.51,6773.56,20764,SEMANAL,6
2918456,PE,NORDESTE, 0.51,7200.1,11477,QUINZENAL,1
2918704,BA,NORDESTE, 0.51,8163.62,27230,SEMANAL,
1718659,RN,NORDESTE, 0.51,8190.75,11772,SEMANAL,
2500601,PB,NORDESTE, 0.51,,3401,QUINZENAL,
2200806,CE,NORDESTE, 0.51,,8741,QUINZENAL,1
2927309,AM,NORTE, 0.51,,17267,SEMANAL,5
2608503,BA,NORDESTE, 0.51,,18120,SEMANAL,15
2608206,BA,NORDESTE, 0.51,,7025,SEMANAL,3
2611903,BA,NORDESTE, 0.51,,17061,SEMANAL,6
2611408,CE,NORDESTE, 0.51,,34844,SEMANAL,3
2910602,MA,NORDESTE, 0.51,,14377,SEMANAL,2
2404309,PE,NORDESTE, 0.51,,12394,SEMANAL,3
2401404,MG,SUDESTE, 0.52,2568,23832,QUINZENAL,3
2401453,BA,NORDESTE, 0.52,2968,21273,SEMANAL,5
2911907,MA,NORDESTE, 0.52,1213.56,30860,SEMANAL,2
2404705,CE,NORDESTE, 0.52,1243.29,20007,SEMANAL,20
2404853,SE,NORDESTE, 0.52,12590.77,6914,QUINZENAL,6
2207355,CE,NORDESTE, 0.52,1345.57,62521,SEMANAL,11
2108504,AL,NORDESTE, 0.52,1353.04,17849,QUINZENAL,0
2928802,CE,NORDESTE, 0.52,1445.35,47137,SEMANAL,7
2109809,AL,NORDESTE, 0.52,1492.56,21071,SEMANAL,0
2302008,PA,NORTE, 0.52,1526.49,18893,SEMANAL,2
2305407,MA,NORDESTE, 0.52,1643.5,10927,QUINZENAL,0
2700201,AL,NORDESTE, 0.52,1668.27,24351,SEMANAL,2
2300309,PI,NORDESTE, 0.52,1829.22,4279,QUINZENAL,10
2708303,RN,NORDESTE, 0.52,1877.96,8608,,
1504950,MG,SUDESTE, 0.52,1881.63,15225,QUINZENAL,3
2111532,PI,NORDESTE, 0.52,1907.27,7166,SEMANAL,3
2706406,PI,NORDESTE, 0.52,1911.55,16529,QUINZENAL,3
2206001,BA,NORDESTE, 0.52,1915.4,20432,,
2401701,PA,NORTE, 0.52,1924.64,14397,SEMANAL,3
3116100,BA,NORDESTE, 0.52,1937.87,13610,SEMANAL,10
2200707,TO,NORTE, 0.52,1943.47,10416,QUINZENAL,8
2207801,RN,NORDESTE, 0.52,1956.3,13518,SEMANAL,0
2931509,PA,NORTE, 0.52,1973.33,7760,SEMANAL,3
1505403,PI,NORDESTE, 0.52,1988.58,6131,SEMANAL,7
2903003,BA,NORDESTE, 0.52,1996.48,8541,SEMANAL,1
1716208,SE,NORDESTE, 0.52,20088.86,23560,SEMANAL,13
2409803,BA,NORDESTE, 0.52,20228.6,11126,SEMANAL,2
1505601,BA,NORDESTE, 0.52,2043.24,23909,SEMANAL,0
2209005,PB,NORDESTE, 0.52,2046.47,19946,QUINZENAL,25
2914109,CE,NORDESTE, 0.52,2061.48,15658,SEMANAL,1
2807204,PB,NORDESTE, 0.52,2086.16,3194,QUINZENAL,6
2203701,CE,NORDESTE, 0.52,2091.41,32600,SEMANAL,4
2923100,PI,NORDESTE, 0.52,2099.92,10229,SEMANAL,1
2505105,BA,NORDESTE, 0.52,2108.39,28267,,
2311108,MG,SUDESTE, 0.52,2120.1,10309,QUINZENAL,0
2510501,RN,NORDESTE, 0.52,2140.33,3778,SEMANAL,4
2310704,BA,NORDESTE, 0.52,2159.81,16059,SEMANAL,13
2204402,TO,NORTE, 0.52,2165.89,2889,SEMANAL,0
2921203,PB,NORDESTE, 0.52,2170.11,9230,SEMANAL,2
3126505,CE,NORDESTE, 0.52,2215.35,8897,QUINZENAL,1
2409332,PA,NORTE, 0.52,2218.89,23545,,
2905305,BA,NORDESTE, 0.52,2231.42,18921,SEMANAL,12
1701051,PB,NORDESTE, 0.52,2241.04,7416,,1
2502409,PB,NORDESTE, 0.52,2244.25,11953,QUINZENAL,8
2309102,PA,NORTE, 0.52,2255.11,18322,SEMANAL,0
1505908,RN,NORDESTE, 0.52,2274.87,2667,SEMANAL,3
2923605,MG,SUDESTE, 0.52,2277.17,10199,,2
2507408,PB,NORDESTE, 0.52,2284.89,6388,,20
2516706,PB,NORDESTE, 0.52,2292.01,17473,,
1500701,BA,NORDESTE, 0.52,2307.62,13520,SEMANAL,0
2410702,BA,NORDESTE, 0.52,2311.48,6941,SEMANAL,
3156502,SE,NORDESTE, 0.52,2332.57,19214,QUINZENAL,3
2505006,BA,NORDESTE, 0.52,2339.08,25134,SEMANAL,1
2506806,RN,NORDESTE, 0.52,2340.31,5760,SEMANAL,
2917409,PE,NORDESTE, 0.52,2346.52,27023,SEMANAL,8
2922201,SE,NORDESTE, 0.52,2349.08,7929,QUINZENAL,1
2807600,PB,NORDESTE, 0.52,2368.9,20663,SEMANAL,11
2913507,BA,NORDESTE, 0.52,2381.08,8526,,
2410900,MG,SUDESTE, 0.52,2406.1,51497,SEMANAL,10
2608107,MG,SUDESTE, 0.52,2408.1,27237,SEMANAL,18
2805109,MG,SUDESTE, 0.52,2411.51,26028,QUINZENAL,8
2509107,BA,NORDESTE, 0.52,2412.34,29026,SEMANAL,
2928950,PB,NORDESTE, 0.52,2428.05,5162,MENSAL,1
3161106,BA,NORDESTE, 0.52,2430.74,19037,,
3155603,RN,NORDESTE, 0.52,2447.09,4295,SEMANAL,6
3162401,PB,NORDESTE, 0.52,2456.23,2923,QUINZENAL,1
2927200,BA,NORDESTE, 0.52,2456.44,13419,SEMANAL,
2501708,PB,NORDESTE, 0.52,2475.17,5618,,12
2924801,BA,NORDESTE, 0.52,2486.45,15362,SEMANAL,35
2413557,TO,NORTE, 0.52,2497.35,3145,SEMANAL,8
2506202,PB,NORDESTE, 0.52,2508.39,3903,SEMANAL,
2912509,SE,NORDESTE, 0.52,2509.62,35454,QUINZENAL,19
2509156,MG,SUDESTE, 0.52,2511.76,4038,SEMANAL,8
2912400,CE,NORDESTE, 0.52,2513.39,18024,SEMANAL,93
1700301,PA,NORTE, 0.52,2516.99,4035,SEMANAL,1
2514701,BA,NORDESTE, 0.52,2517.33,8884,SEMANAL,5
2803005,BA,NORDESTE, 0.52,2527.06,61746,SEMANAL,10
3166956,TO,NORTE, 0.52,2537.52,4316,MENSAL,0
2306702,SE,NORDESTE, 0.52,2559.46,5802,QUINZENAL,1
1507466,MG,SUDESTE, 0.52,2559.59,6345,QUINZENAL,0
2931400,SE,NORDESTE, 0.52,2575.34,18876,QUINZENAL,15
2914000,BA,NORDESTE, 0.52,2580.84,20595,SEMANAL,3
1718907,SE,NORDESTE, 0.52,2596.3,14268,,
2803708,AL,NORDESTE, 0.52,2596.87,8049,SEMANAL,0
3116308,TO,NORTE, 0.52,2610.15,2021,MENSAL,8
3142908,BA,NORDESTE, 0.52,2655.65,55730,MENSAL,10
2806206,PE,NORDESTE, 0.52,2657.34,23042,SEMANAL,2
2932101,TO,NORTE, 0.52,2678.6,1365,SEMANAL,
2801702,BA,NORDESTE, 0.52,2699.11,21665,SEMANAL,1
2706448,PI,NORDESTE, 0.52,27.77,34094,SEMANAL,4
1712454,BA,NORDESTE, 0.52,2704.86,14629,SEMANAL,0
2907202,PE,NORDESTE, 0.52,2709.89,14766,SEMANAL,8
2607307,SE,NORDESTE, 0.52,2710.19,17770,QUINZENAL,16
1721307,RN,NORDESTE, 0.52,2716.44,2029,SEMANAL,0
2906204,SE,NORDESTE, 0.52,2733.15,36813,QUINZENAL,10
2915106,PB,NORDESTE, 0.52,2734.6,6039,SEMANAL,2
2607703,MG,SUDESTE, 0.52,2748.71,3972,QUINZENAL,0
2801405,MG,SUDESTE, 0.52,2749.8,6388,,2
2413805,BA,NORDESTE, 0.52,2759.13,3748,SEMANAL,
2807105,BA,NORDESTE, 0.52,2785.1,12598,SEMANAL,3
2501203,BA,NORDESTE, 0.52,2808.22,9283,SEMANAL,1
3121704,MG,SUDESTE, 0.52,2834.91,5973,QUINZENAL,0
3133907,PA,NORTE, 0.52,2838.7,19835,SEMANAL,5
2910206,PA,NORTE, 0.52,2864.47,61334,QUINZENAL,3
2921807,SE,NORDESTE, 0.52,2871.61,5244,QUINZENAL,6
2930006,PE,NORDESTE, 0.52,2885.02,17044,SEMANAL,1
3120870,PE,NORDESTE, 0.52,2885.49,19289,,1
1507003,MG,SUDESTE, 0.52,2933.23,5318,QUINZENAL,12
1504802,BA,NORDESTE, 0.52,2944.59,8100,SEMANAL,0
2805208,MA,NORDESTE, 0.52,2988.66,6488,SEMANAL,
2604700,SE,NORDESTE, 0.52,3013.39,14824,QUINZENAL,34
2610400,SE,NORDESTE, 0.52,3014.43,18344,QUINZENAL,3
3105202,MG,SUDESTE, 0.52,3033.96,5190,MENSAL,
2919058,PA,NORTE, 0.52,3058.32,41784,MENSAL,9
2922102,MG,SUDESTE, 0.52,3061.25,7251,SEMANAL,4
2109551,BA,NORDESTE, 0.52,3070.18,11614,SEMANAL,0
2803609,CE,NORDESTE, 0.52,3089.27,59235,SEMANAL,0
2916302,MG,SUDESTE, 0.52,3114.63,4454,QUINZENAL,0
2800506,AM,NORTE, 0.52,3169.96,24345,QUINZENAL,0
2800209,PB,NORDESTE, 0.52,3187.3,7307,SEMANAL,4
3165909,PB,NORDESTE, 0.52,3189.48,2894,QUINZENAL,2
1500404,PE,NORDESTE, 0.52,3204.75,9826,QUINZENAL,3
3129608,MG,SUDESTE, 0.52,3243.22,4436,QUINZENAL,0
2911006,PB,NORDESTE, 0.52,3248.78,1853,QUINZENAL,4
2311405,CE,NORDESTE, 0.52,3250.98,29735,SEMANAL,4
3137304,PB,NORDESTE, 0.52,3304.99,36032,SEMANAL,0
1300300,BA,NORDESTE, 0.52,3308.18,19118,SEMANAL,0
2515807,PA,NORTE, 0.52,3406.87,19728,SEMANAL,1
2515203,MG,SUDESTE, 0.52,3418.88,3651,QUINZENAL,2
2609105,PE,NORDESTE, 0.52,3454.22,10727,SEMANAL,1
3106606,MA,NORDESTE, 0.52,3484.98,42214,QUINZENAL,12
2517407,GO,CENTRO-OESTE, 0.52,3562.82,3303,QUINZENAL,11
2307007,PE,NORDESTE, 0.52,3647.3,20244,SEMANAL,
2512507,BA,NORDESTE, 0.52,3688.5,14302,,
2904704,PB,NORDESTE, 0.52,3817.58,4730,QUINZENAL,1
1500958,PB,NORDESTE, 0.52,4073.17,1422,QUINZENAL,4
3152131,RN,NORDESTE, 0.52,4111.26,34174,SEMANAL,
2605509,BA,NORDESTE, 0.52,4244.93,11410,SEMANAL,0
2103406,BA,NORDESTE, 0.52,4307.49,7556,SEMANAL,0
5206701,MS,CENTRO-OESTE, 0.52,4509.35,6140,SEMANAL,4
2610806,GO,CENTRO-OESTE, 0.52,4540.53,4678,QUINZENAL,1
2900355,AP,NORTE, 0.52,4597.6,11986,SEMANAL,7
2502706,RN,NORDESTE, 0.52,4750.01,18810,SEMANAL,
2504850,MA,NORDESTE, 0.52,5096.46,11521,SEMANAL,3
2401008,AL,NORDESTE, 0.52,5153.97,6388,MENSAL,2
2905404,BA,NORDESTE, 0.52,5209.68,5315,SEMANAL,0
2918555,CE,NORDESTE, 0.52,5300.55,8730,SEMANAL,
5004809,PE,NORDESTE, 0.52,5700.59,33046,SEMANAL,3
5209408,SE,NORDESTE, 0.52,6316.64,10670,TRIMESTRAL,0
1600402,RN,NORDESTE, 0.52,6353.78,8237,QUINZENAL,8
2402303,BA,NORDESTE, 0.52,6406.98,7450,SEMANAL,0
2102556,PR,SUL, 0.52,6692.46,6003,SEMANAL,2
2707909,GO,CENTRO-OESTE, 0.52,7193.22,3074,SEMANAL,0
2900603,AP,NORTE, 0.52,7321.72,7121,SEMANAL,4
2306801,AP,NORTE, 0.52,7357.03,4009,,2
2614204,SE,NORDESTE, 0.52,7818.67,8337,QUINZENAL,3
2806602,AL,NORDESTE, 0.52,8726.7,31201,SEMANAL,5
2413359,SE,NORDESTE, 0.52,9352.9,25482,QUINZENAL,12
2933257,MA,NORDESTE, 0.52,952.19,25921,QUINZENAL,7
4128633,MA,NORDESTE, 0.52,963.82,33747,MENSAL,8
5200829,RN,NORDESTE, 0.52,9768.48,5534,SEMANAL,
1600709,RN,NORDESTE, 0.52,,6249,QUINZENAL,
1600154,BA,NORDESTE, 0.52,,28501,SEMANAL,14
2805901,BA,NORDESTE, 0.52,,41145,SEMANAL,4
2706901,MA,NORDESTE, 0.52,,27517,SEMANAL,5
2803203,PI,NORDESTE, 0.52,,2894,SEMANAL,2
2403707,RN,NORDESTE, 0.52,,7821,SEMANAL,10
2104677,RN,NORDESTE, 0.52,,11924,SEMANAL,
2103703,RN,NORDESTE, 0.52,,18922,SEMANAL,7
2404507,PA,NORTE, 0.53,2498,52941,SEMANAL,5
2306306,BA,NORDESTE, 0.53,3162,24133,SEMANAL,
3136520,PA,NORTE, 0.53,11189.2,14284,SEMANAL,0
3146305,PA,NORTE, 0.53,1203.24,24024,,
2513851,MA,NORDESTE, 0.53,1329.74,26366,SEMANAL,7
2709301,PA,NORTE, 0.53,1566.96,10632,SEMANAL,0
1503754,MA,NORDESTE, 0.53,1575.44,17854,SEMANAL,4
2101004,AL,NORDESTE, 0.53,1773.9,41485,SEMANAL,6
1502608,PB,NORDESTE, 0.53,1795.11,5948,SEMANAL,2
2107704,PI,NORDESTE, 0.53,1797.69,5700,QUINZENAL,8
2708006,AL,NORDESTE, 0.53,1809.99,26263,SEMANAL,
2502904,PB,NORDESTE, 0.53,1830.89,3121,QUINZENAL,
2210300,AL,NORDESTE, 0.53,1849.58,5134,,2
2709400,MA,NORDESTE, 0.53,1868.9,33049,SEMANAL,6
2505501,BA,NORDESTE, 0.53,1870.46,13614,SEMANAL,8
2702207,PI,NORDESTE, 0.53,1892.77,6178,QUINZENAL,3
2110708,BA,NORDESTE, 0.53,1919.93,9258,SEMANAL,2
2932408,BA,NORDESTE, 0.53,1960.83,13730,SEMANAL,
2205953,AM,NORTE, 0.53,1989.23,12150,SEMANAL,3
2902203,GO,CENTRO-OESTE, 0.53,20031.4,9150,SEMANAL,
2925600,RN,NORDESTE, 0.53,2032.24,7677,SEMANAL,2
1300029,PI,NORDESTE, 0.53,2056.87,6787,SEMANAL,0
1503044,PA,NORTE, 0.53,2074.28,32400,SEMANAL,2
2405009,CE,NORDESTE, 0.53,2075.59,15394,SEMANAL,1
2201408,BA,NORDESTE, 0.53,2083.6,25163,SEMANAL,
1503200,CE,NORDESTE, 0.53,2091.93,24062,SEMANAL,16
2300705,TO,NORTE, 0.53,2106.9,4377,MENSAL,11
2914505,BA,NORDESTE, 0.53,2112.41,23818,SEMANAL,
2303808,MG,SUDESTE, 0.53,2116.39,2951,QUINZENAL,2
1705607,RN,NORDESTE, 0.53,2120.68,7725,SEMANAL,3
2908903,AL,NORDESTE, 0.53,2153.72,19417,SEMANAL,6
3153301,BA,NORDESTE, 0.53,2157.46,12700,SEMANAL,0
2407401,CE,NORDESTE, 0.53,2163.96,7017,QUINZENAL,2
2705705,MA,NORDESTE, 0.53,2167.01,47155,QUINZENAL,3
2916856,MA,NORDESTE, 0.53,2175.42,24598,SEMANAL,3
2310605,PE,NORDESTE, 0.53,2189.32,33426,SEMANAL,7
2104800,RN,NORDESTE, 0.53,2214.01,5633,,6
2105500,MG,SUDESTE, 0.53,2215.46,9134,QUINZENAL,2
2613107,PB,NORDESTE, 0.53,2221.51,10198,,8
2413003,CE,NORDESTE, 0.53,2242.34,39894,QUINZENAL,1
3119500,PB,NORDESTE, 0.53,2251.62,17661,QUINZENAL,4
2511806,MG,SUDESTE, 0.53,2253.88,4610,QUINZENAL,0
2312304,PA,NORTE, 0.53,2255.84,15595,SEMANAL,
2500700,PB,NORDESTE, 0.53,2269.77,17896,SEMANAL,25
3145372,RN,NORDESTE, 0.53,2270.9,10317,QUINZENAL,3
1507102,SE,NORDESTE, 0.53,2314.29,11481,SEMANAL,5
2511400,RN,NORDESTE, 0.53,2330.38,3480,SEMANAL,3
2401800,TO,NORTE, 0.53,2332.1,1713,SEMANAL,4
2803906,CE,NORDESTE, 0.53,2346.12,7265,SEMANAL,4
2411908,PE,NORDESTE, 0.53,2366.87,12535,SEMANAL,5
1720937,PB,NORDESTE, 0.53,2391.03,6170,QUINZENAL,6
2307205,CE,NORDESTE, 0.53,2412.51,16593,SEMANAL,
2600609,BA,NORDESTE, 0.53,2418.02,7515,,
2513307,MG,SUDESTE, 0.53,2433.57,16031,QUINZENAL,
2313955,TO,NORTE, 0.53,2433.8,2323,SEMANAL,10
2933109,BA,NORDESTE, 0.53,2437.1,21707,SEMANAL,0
3142700,PB,NORDESTE, 0.53,2444.05,29169,QUINZENAL,22
1703305,MG,SUDESTE, 0.53,2463.15,3894,QUINZENAL,1
2925006,PA,NORTE, 0.53,2475.09,49769,SEMANAL,6
2500304,RN,NORDESTE, 0.53,2479.72,4467,SEMANAL,0
3163003,PB,NORDESTE, 0.53,2513.42,14914,,5
1502301,BA,NORDESTE, 0.53,2530.96,13638,SEMANAL,0
2411007,SE,NORDESTE, 0.53,2575.5,24188,QUINZENAL,10
1504703,MA,NORDESTE, 0.53,2598.79,5055,SEMANAL,1
2512705,RN,NORDESTE, 0.53,2612.31,3021,SEMANAL,
2918209,AM,NORTE, 0.53,2613.06,11320,SEMANAL,4
2800670,PE,NORDESTE, 0.53,2665.34,18407,SEMANAL,1
2105450,AM,NORTE, 0.53,2669.24,90150,MENSAL,10
2403905,RN,NORDESTE, 0.53,2679.19,3218,SEMANAL,0
1300102,SE,NORDESTE, 0.53,2682.74,22195,SEMANAL,5
2604502,PE,NORDESTE, 0.53,2691.58,39139,SEMANAL,10
1303403,RN,NORDESTE, 0.53,2700.95,3718,SEMANAL,6
2406908,AC,NORTE, 0.53,2717.43,11095,SEMANAL,1
2804607,SE,NORDESTE, 0.53,2723.16,10758,SEMANAL,2
2601409,PA,NORTE, 0.53,2727.33,8261,SEMANAL,2
2407609,CE,NORDESTE, 0.53,2729.56,58069,QUINZENAL,10
1200336,MG,SUDESTE, 0.53,2732.94,3288,QUINZENAL,2
2804102,BA,NORDESTE, 0.53,2747.28,18366,SEMANAL,3
1507961,MA,NORDESTE, 0.53,2752.94,7062,SEMANAL,9
2313401,BA,NORDESTE, 0.53,2762.65,18912,SEMANAL,2
3115409,RN,NORDESTE, 0.53,2764.87,10867,SEMANAL,5
2920700,AC,NORTE, 0.53,2790.94,6374,SEMANAL,3
2110856,PA,NORTE, 0.53,2810.08,49655,,
2908309,PE,NORDESTE, 0.53,2851.07,9551,QUINZENAL,5
2400307,PE,NORDESTE, 0.53,2857.11,9536,SEMANAL,
1200344,BA,NORDESTE, 0.53,2862.81,13048,SEMANAL,0
1503705,AC,NORTE, 0.53,2869.92,26037,QUINZENAL,2
2604304,MG,SUDESTE, 0.53,2872.6,21641,MENSAL,10
2610103,BA,NORDESTE, 0.53,2874.75,14594,QUINZENAL,2
2923902,TO,NORTE, 0.53,2876.14,1166,SEMANAL,10
1200609,BA,NORDESTE, 0.53,2899.16,26591,SEMANAL,64
3141405,PB,NORDESTE, 0.53,2960.22,15867,SEMANAL,14
2919702,MG,SUDESTE, 0.53,2970.37,12087,QUINZENAL,
1709807,RN,NORDESTE, 0.53,2988.73,1521,,
2923803,MG,SUDESTE, 0.53,3026.62,6138,SEMANAL,0
2502508,PB,NORDESTE, 0.53,3030.45,26131,SEMANAL,0
3134707,BA,NORDESTE, 0.53,3031.27,24741,QUINZENAL,0
2414902,PB,NORDESTE, 0.53,3033.5,11266,QUINZENAL,0
5205307,CE,NORDESTE, 0.53,3034.16,12077,SEMANAL,2
3139250,PB,NORDESTE, 0.53,3041.34,1979,QUINZENAL,1
2501104,PB,NORDESTE, 0.53,3045.75,3425,SEMANAL,2
2912905,AM,NORTE, 0.53,3048.01,9651,SEMANAL,3
2510907,MG,SUDESTE, 0.53,3063.9,11489,QUINZENAL,0
2309201,PE,NORDESTE, 0.53,3100.11,12329,SEMANAL,4
2510709,AL,NORDESTE, 0.53,3106.4,48846,SEMANAL,4
2512200,BA,NORDESTE, 0.53,3136.53,13649,,
1303205,CE,NORDESTE, 0.53,3166.37,17488,SEMANAL,3
3100500,SE,NORDESTE, 0.53,3266.86,2400,QUINZENAL,
2608305,BA,NORDESTE, 0.53,3270.72,10427,SEMANAL,2
2702306,MG,SUDESTE, 0.53,3291.36,17455,SEMANAL,2
2933455,PA,NORTE, 0.53,3318.89,38043,SEMANAL,11
2917300,SE,NORDESTE, 0.53,3348.65,2532,QUINZENAL,2
2304350,MG,SUDESTE, 0.53,3392.67,11878,SEMANAL,0
2802502,BA,NORDESTE, 0.53,3424.4,56317,SEMANAL,7
2910107,CE,NORDESTE, 0.53,3494.81,16052,SEMANAL,2
3132107,MG,SUDESTE, 0.53,3518.77,5257,QUINZENAL,
1505809,PB,NORDESTE, 0.53,3574.34,2189,QUINZENAL,0
