Região;País;Item;Canal;Prioridade Pedido;Data Pedido;ID Pedido;Data Envio;Unidades Vendidas;Preço Unit;Custo Unit;Receita Total;Custo Total;Lucro Total
Ásia;Bangladesh;Cuidados Pessoais;Offline;M;26/07/10;496941077;29/07/10;4763;81,73;56,67;389279,99;269919,21;119360,78
Ásia;Myanmar;Snacks;Online;L;24/06/16;366526925;14/07/16;2317;152,58;97,44;353527,86;225768,48;127759,38
Austrália e Oceania;Tonga;Carne;Offline;M;18/08/12;355602824;15/09/12;9633;421,89;364,69;4064066,37;3513058,77;551007,6
África Subsaariana;Guinea-Bissau;Vegetais;Online;C;11/03/10;531405103;19/04/10;3434;154,06;90,93;529042,04;312253,62;216788,42
Austrália e Oceania;Nauru;Vegetais;Offline;M;14/01/10;131482589;20/01/10;7475;154,06;90,93;1151598,5;679701,75;471896,75
África Subsaariana;Swaziland;Cereais;Online;L;10/02/14;713696610;28/03/14;7542;205,7;117,11;1551389,4;883243,62;668145,78
Europa;Finland;Vegetais;Online;C;21/01/14;306220996;30/01/14;6452;154,06;90,93;993995,12;586680,36;407314,76
Austrália e Oceania;Papua New Guinea;Eletrodomésticos;Offline;L;28/02/10;157542073;15/03/10;9055;668,27;502,54;6051184,85;4550499,7;1500685,15
África Subsaariana;Mauritius ;Cuidados Pessoais;Online;L;18/02/15;686458671;08/03/15;7230;81,73;56,67;590907,9;409724,1;181183,8
África Subsaariana;Mozambique;Artigos Escritório;Online;M;14/06/12;132082116;22/07/12;4888;651,21;524,96;3183114,48;2566004,48;617110
Europa;Bulgaria;Roupas;Online;L;05/03/13;403836238;03/04/13;2972;109,28;35,84;324780,16;106516,48;218263,68
Europa;Spain;Eletrodomésticos;Online;C;10/04/14;331457364;23/04/14;4455;668,27;502,54;2977142,85;2238815,7;738327,15
Austrália e Oceania;Vanuatu;Carne;Online;H;26/07/17;614994323;12/09/17;9341;421,89;364,69;3940874,49;3406569,29;534305,2
Europa;Belgium;Frutas;Offline;L;19/10/10;674808442;24/10/10;9669;9,33;6,92;90211,77;66909,48;23302,29
Europa;Belgium;Comida para bebê;Offline;L;08/11/16;901573550;23/12/16;4503;255,28;159,42;1149525,84;717868,26;431657,58
África Subsaariana;Guinea-Bissau;Roupas;Online;L;31/03/14;406275975;10/05/14;4944;109,28;35,84;540280,32;177192,96;363087,36
África Subsaariana;Togo;Vegetais;Online;C;18/08/16;170214545;19/08/16;9121;154,06;90,93;1405181,26;829372,53;575808,73
África Subsaariana;Cote d'Ivoire;Cuidados Pessoais;Offline;C;03/01/16;795000588;08/01/16;7196;81,73;56,67;588129,08;407797,32;180331,76
África Subsaariana;Republic of the Congo;Frutas;Offline;C;21/10/16;252557933;04/11/16;6360;9,33;6,92;59338,8;44011,2;15327,6
Oriente Médio e Norte da África;Libya;Comida para bebê;Offline;M;10/12/16;635122907;13/12/16;5837;255,28;159,42;1490069,36;930534,54;559534,82
Austrália e Oceania;East Timor;Vegetais;Online;C;12/08/11;505244338;19/09/11;1882;154,06;90,93;289940,92;171130,26;118810,66
Europa;Switzerland;Roupas;Offline;H;23/03/12;745783555;09/05/12;2782;109,28;35,84;304016,96;99706,88;204310,08
Austrália e Oceania;Palau;Snacks;Offline;M;27/04/12;509914386;11/06/12;3853;152,58;97,44;587890,74;375436,32;212454,42
Oriente Médio e Norte da África;Jordan;Eletrodomésticos;Online;M;29/01/14;371123158;09/02/14;2445;668,27;502,54;1633920,15;1228710,3;405209,85
Europa;Slovenia;Eletrodomésticos;Online;H;13/12/16;973208701;28/12/16;2936;668,27;502,54;1962040,72;1475457,44;486583,28
Ásia;South Korea;Comida para bebê;Online;L;21/11/13;780282342;27/12/13;1739;255,28;159,42;443931,92;277231,38;166700,54
Europa;Norway;Roupas;Online;H;07/04/10;126767909;22/05/10;2296;109,28;35,84;250906,88;82288,64;168618,24
Oriente Médio e Norte da África;Afghanistan;Comida para bebê;Online;M;08/07/12;767401731;30/07/12;80;255,28;159,42;20422,4;12753,6;7668,8
Ásia;Bangladesh;Cuidados Pessoais;Online;L;15/10/16;927232635;24/11/16;7597;81,73;56,67;620902,81;430521,99;190380,82
África Subsaariana;Guinea;Carne;Offline;M;18/09/12;251621949;20/10/12;9381;421,89;364,69;3957750,09;3421156,89;536593,2
América Central e o Caribe;Cuba;Artigos Escritório;Offline;H;02/07/17;256243503;23/07/17;7002;651,21;524,96;4559772,42;3675769,92;884002,5
Europa;Russia;Cosméticos;Offline;C;21/07/11;277083623;02/09/11;4056;437,2;263,33;1773283,2;1068066,48;705216,72
África Subsaariana;Seychelles ;Vegetais;Offline;L;01/06/10;620441138;22/06/10;1175;154,06;90,93;181020,5;106842,75;74177,75
Ásia;South Korea;Artigos Escritório;Offline;M;26/07/15;312927377;07/09/15;1020;651,21;524,96;664234,2;535459,2;128775
África Subsaariana;Ghana;Comida para bebê;Offline;L;06/08/10;251466166;08/09/10;3282;255,28;159,42;837828,96;523216,44;314612,52
América Central e o Caribe;Costa Rica;Artigos Escritório;Online;H;20/06/10;953293836;22/07/10;9685;651,21;524,96;6306968,85;5084237,6;1222731,25
Europa;Romania;Cereais;Online;C;08/04/12;305959212;23/04/12;8985;205,7;117,11;1848214,5;1052233,35;795981,15
Europa;Czech Republic;Cereais;Online;L;27/02/14;317323625;24/03/14;1967;205,7;117,11;404611,9;230355,37;174256,53
Europa;Liechtenstein;Eletrodomésticos;Offline;L;25/07/11;365560901;01/09/11;6449;668,27;502,54;4309673,23;3240880,46;1068792,77
África Subsaariana;Seychelles ;Comida para bebê;Online;M;18/02/16;349157369;05/04/16;2279;255,28;159,42;581783,12;363318,18;218464,94
Oriente Médio e Norte da África;Somalia;Comida para bebê;Online;L;24/01/14;236911857;25/02/14;6338;255,28;159,42;1617964,64;1010403,96;607560,68
Austrália e Oceania;Solomon Islands;Cuidados Pessoais;Offline;H;10/05/15;517935693;16/06/15;7536;81,73;56,67;615917,28;427065,12;188852,16
África Subsaariana;Uganda;Roupas;Offline;C;13/02/12;851652705;27/03/12;1816;109,28;35,84;198452,48;65085,44;133367,04
África Subsaariana;Equatorial Guinea;Cereais;Offline;M;07/09/12;517799222;23/10/12;7151;205,7;117,11;1470960,7;837453,61;633507,09
América Central e o Caribe;Costa Rica;Artigos Escritório;Offline;C;04/02/15;666424071;04/03/15;8547;651,21;524,96;5565891,87;4486833,12;1079058,75
Europa;Moldova ;Frutas;Offline;C;16/11/10;267888581;22/12/10;3039;9,33;6,92;28353,87;21029,88;7323,99
África Subsaariana;Burkina Faso;Vegetais;Online;L;20/07/11;162866580;26/07/11;4695;154,06;90,93;723311,7;426916,35;296395,35
América Central e o Caribe;Guatemala;Bebidas;Offline;H;26/07/14;812344396;30/08/14;9614;47,45;31,79;456184,3;305629,06;150555,24
África Subsaariana;Swaziland;Carne;Online;M;24/08/14;947620856;03/09/14;924;421,89;364,69;389826,36;336973,56;52852,8
Ásia;Maldives;Vegetais;Online;H;25/02/15;720307290;28/03/15;3789;154,06;90,93;583733,34;344533,77;239199,57
Ásia;Thailand;Eletrodomésticos;Online;H;21/09/16;352327525;27/10/16;399;668,27;502,54;266639,73;200513,46;66126,27
África Subsaariana;Sudan;Eletrodomésticos;Online;C;28/06/13;585917890;23/07/13;4979;668,27;502,54;3327316,33;2502146,66;825169,67
América Central e o Caribe;Costa Rica;Carne;Offline;L;05/01/12;433627212;13/02/12;8783;421,89;364,69;3705459,87;3203072,27;502387,6
Europa;Denmark;Bebidas;Online;C;01/05/12;328316819;30/05/12;5098;47,45;31,79;241900,1;162065,42;79834,68
África Subsaariana;Angola;Cereais;Offline;C;13/10/11;773160541;21/11/11;4240;205,7;117,11;872168;496546,4;375621,6
Austrália e Oceania;Papua New Guinea;Eletrodomésticos;Online;M;27/04/16;991644704;18/05/16;8559;668,27;502,54;5719722,93;4301239,86;1418483,07
Ásia;North Korea;Carne;Online;M;19/01/14;277568137;07/02/14;7435;421,89;364,69;3136752,15;2711470,15;425282
América Central e o Caribe;El Salvador;Frutas;Online;C;06/11/16;245042169;15/12/16;2278;9,33;6,92;21253,74;15763,76;5489,98
África Subsaariana;Burkina Faso;Eletrodomésticos;Online;M;28/02/11;778490626;24/03/11;1531;668,27;502,54;1023121,37;769388,74;253732,63
Oriente Médio e Norte da África;Yemen;Comida para bebê;Online;C;11/10/14;482649838;13/11/14;5668;255,28;159,42;1446927,04;903592,56;543334,48
África Subsaariana;Republic of the Congo;Bebidas;Online;L;25/06/12;732568633;05/07/12;2193;47,45;31,79;104057,85;69715,47;34342,38
Europa;Andorra;Eletrodomésticos;Online;M;06/11/12;723608338;23/11/12;642;668,27;502,54;429029,34;322630,68;106398,66
América Central e o Caribe;Dominican Republic;Eletrodomésticos;Offline;H;24/02/14;621442782;14/04/14;7584;668,27;502,54;5068159,68;3811263,36;1256896,32
Oriente Médio e Norte da África;Israel;Comida para bebê;Offline;M;19/09/15;212058293;06/10/15;1616;255,28;159,42;412532,48;257622,72;154909,76
Austrália e Oceania;Solomon Islands;Snacks;Offline;L;04/03/14;251753699;24/03/14;8369;152,58;97,44;1276942,02;815475,36;461466,66
África Subsaariana;Liberia;Frutas;Online;M;08/10/14;217140328;30/10/14;5503;9,33;6,92;51342,99;38080,76;13262,23
África Subsaariana;Mali;Vegetais;Online;C;19/06/12;555142009;10/07/12;7712;154,06;90,93;1188110,72;701252,16;486858,56
Ásia;Uzbekistan;Roupas;Online;C;11/11/10;432995069;13/12/10;1718;109,28;35,84;187743,04;61573,12;126169,92
Oriente Médio e Norte da África;Tunisia ;Cuidados Pessoais;Offline;H;01/11/10;888248336;07/11/10;1276;81,73;56,67;104287,48;72310,92;31976,56
Europa;Vatican City;Vegetais;Online;C;28/04/14;778763139;09/05/14;2173;154,06;90,93;334772,38;197590,89;137181,49
África Subsaariana;Djibouti;Snacks;Offline;H;22/12/12;832713305;09/02/13;7227;152,58;97,44;1102695,66;704198,88;398496,78
Europa;Ukraine;Eletrodomésticos;Offline;M;25/08/14;498585164;29/09/14;1285;668,27;502,54;858726,95;645763,9;212963,05
Austrália e Oceania;East Timor;Frutas;Offline;M;26/11/16;195177543;23/12/16;6227;9,33;6,92;58097,91;43090,84;15007,07
África Subsaariana;Uganda;Cereais;Online;C;20/10/10;861601769;02/12/10;5965;205,7;117,11;1227000,5;698561,15;528439,35
África Subsaariana;Guinea;Carne;Online;H;18/12/14;807281672;26/01/15;1441;421,89;364,69;607943,49;525518,29;82425,2
África Subsaariana;Equatorial Guinea;Roupas;Offline;H;20/03/11;661953580;24/04/11;5629;109,28;35,84;615137,12;201743,36;413393,76
Europa;Malta;Cosméticos;Online;M;12/07/16;225666320;21/08/16;8534;437,2;263,33;3731064,8;2247258,22;1483806,58
Europa;Cyprus;Eletrodomésticos;Offline;L;26/01/11;718781220;19/02/11;2191;668,27;502,54;1464179,57;1101065,14;363114,43
Europa;Czech Republic;Artigos Escritório;Online;L;24/02/10;731972110;15/04/10;5668;651,21;524,96;3691058,28;2975473,28;715585
Oriente Médio e Norte da África;Libya;Vegetais;Online;C;02/01/15;276225316;09/02/15;64;154,06;90,93;9859,84;5819,52;4040,32
Ásia;Vietnam;Artigos Escritório;Offline;C;26/07/16;332839667;27/07/16;3509;651,21;524,96;2285095,89;1842084,64;443011,25
Oriente Médio e Norte da África;Jordan;Vegetais;Online;C;01/06/14;603426492;15/06/14;6163;154,06;90,93;949471,78;560401,59;389070,19
África Subsaariana;Mali;Bebidas;Offline;H;21/12/12;859909617;29/01/13;5220;47,45;31,79;247689;165943,8;81745,2
Europa;Czech Republic;Eletrodomésticos;Online;L;27/02/10;494525372;02/03/10;9902;668,27;502,54;6617209,54;4976151,08;1641058,46
Europa;Slovakia;Vegetais;Online;M;24/04/16;769822585;15/05/16;6465;154,06;90,93;995997,9;587862,45;408135,45
África Subsaariana;Zimbabwe;Vegetais;Offline;C;22/07/12;768662583;10/08/12;3195;154,06;90,93;492221,7;290521,35;201700,35
América Central e o Caribe;Honduras;Cereais;Online;M;22/02/15;544219195;09/03/15;5409;205,7;117,11;1112631,3;633447,99;479183,31
Europa;Switzerland;Bebidas;Offline;L;10/02/11;669978749;20/03/11;455;47,45;31,79;21589,75;14464,45;7125,3
África Subsaariana;South Africa;Cosméticos;Offline;L;21/01/15;889740073;26/01/15;2715;437,2;263,33;1186998;714940,95;472057,05
África Subsaariana;Uganda;Bebidas;Online;M;10/05/12;567614495;28/06/12;8598;47,45;31,79;407975,1;273330,42;134644,68
Oriente Médio e Norte da África;Iran;Vegetais;Offline;M;16/12/15;938025844;21/01/16;1547;154,06;90,93;238330,82;140668,71;97662,11
Oriente Médio e Norte da África;Algeria;Vegetais;Online;C;25/02/17;155710446;25/02/17;7036;154,06;90,93;1083966,16;639783,48;444182,68
África Subsaariana;Central African Republic;Comida para bebê;Online;L;31/01/12;945717132;13/02/12;7570;255,28;159,42;1932469,6;1206809,4;725660,2
América Central e o Caribe;The Bahamas;Cosméticos;Offline;C;07/02/13;253407227;15/02/13;7685;437,2;263,33;3359882;2023691,05;1336190,95
África Subsaariana;South Africa;Eletrodomésticos;Offline;H;14/09/14;494454562;22/09/14;8948;668,27;502,54;5979679,96;4496727,92;1482952,04
África Subsaariana;Benin;Cereais;Online;M;05/06/12;104845464;24/07/12;4957;205,7;117,11;1019654,9;580514,27;439140,63
Europa;Hungary;Cosméticos;Online;M;05/04/14;290878760;07/04/14;6344;437,2;263,33;2773596,8;1670565,52;1103031,28
Europa;Austria;Artigos Escritório;Offline;C;02/02/14;979165780;10/02/14;5768;651,21;524,96;3756179,28;3027969,28;728210
Ásia;Tajikistan;Artigos Escritório;Offline;C;01/09/10;366630351;12/10/10;2923;651,21;524,96;1903486,83;1534458,08;369028,75
Europa;Portugal;Artigos Escritório;Online;C;17/05/11;770508801;25/06/11;9532;651,21;524,96;6207333,72;5003918,72;1203415
Europa;Belgium;Bebidas;Offline;M;21/04/13;978349959;21/05/13;4349;47,45;31,79;206360,05;138254,71;68105,34
Europa;Slovenia;Bebidas;Offline;L;10/08/14;298015153;14/08/14;8161;47,45;31,79;387239,45;259438,19;127801,26
Europa;Czech Republic;Snacks;Online;M;19/09/10;807678210;30/10/10;8786;152,58;97,44;1340567,88;856107,84;484460,04
Austrália e Oceania;Marshall Islands;Cuidados Pessoais;Offline;C;13/04/13;605825459;14/05/13;6071;81,73;56,67;496182,83;344043,57;152139,26
África Subsaariana;Sudan;Frutas;Online;C;28/01/16;561255729;01/02/16;6897;9,33;6,92;64349,01;47727,24;16621,77
América Central e o Caribe;Dominican Republic;Roupas;Online;H;09/12/13;263080346;14/12/13;175;109,28;35,84;19124;6272;12852
África Subsaariana;Tanzania;Cereais;Offline;C;21/02/14;270723140;09/03/14;1848;205,7;117,11;380133,6;216419,28;163714,32
Europa;Switzerland;Roupas;Offline;H;09/06/17;763920438;10/07/17;9888;109,28;35,84;1080560,64;354385,92;726174,72
América do Norte;Greenland;Eletrodomésticos;Online;L;17/04/14;192721068;20/05/14;9302;668,27;502,54;6216247,54;4674627,08;1541620,46
Austrália e Oceania;Tonga;Frutas;Offline;L;20/05/11;227486360;08/06/11;7124;9,33;6,92;66466,92;49298,08;17168,84
Oriente Médio e Norte da África;Saudi Arabia;Vegetais;Online;M;28/08/12;808890140;22/09/12;7422;154,06;90,93;1143433,32;674882,46;468550,86
América Central e o Caribe;Belize;Cosméticos;Offline;C;25/07/15;597918736;11/09/15;6296;437,2;263,33;2752611,2;1657925,68;1094685,52
África Subsaariana;Angola;Cosméticos;Online;H;27/10/14;125870978;20/11/14;6874;437,2;263,33;3005312,8;1810130,42;1195182,38
Ásia;Malaysia;Eletrodomésticos;Online;H;18/10/13;444358193;21/10/13;4319;668,27;502,54;2886258,13;2170470,26;715787,87
África Subsaariana;Ethiopia;Bebidas;Online;C;15/02/13;875304210;12/03/13;822;47,45;31,79;39003,9;26131,38;12872,52
América do Norte;Greenland;Comida para bebê;Offline;C;08/07/14;360945355;16/08/14;607;255,28;159,42;154954,96;96767,94;58187,02
África Subsaariana;Benin;Cereais;Offline;C;12/12/16;613830459;16/01/17;4928;205,7;117,11;1013689,6;577118,08;436571,52
Oriente Médio e Norte da África;Yemen;Cereais;Offline;H;24/11/12;266820847;10/12/12;7073;205,7;117,11;1454916,1;828319,03;626597,07
África Subsaariana;Rwanda;Comida para bebê;Offline;M;03/11/14;723090350;27/11/14;7358;255,28;159,42;1878350,24;1173012,36;705337,88
África Subsaariana;Mauritania;Carne;Offline;M;03/08/13;306125295;15/08/13;8132;421,89;364,69;3430809,48;2965659,08;465150,4
Austrália e Oceania;New Zealand;Cuidados Pessoais;Online;L;23/05/12;109724509;16/06/12;8775;81,73;56,67;717180,75;497279,25;219901,5
Austrália e Oceania;Samoa ;Roupas;Offline;M;22/07/15;847999322;06/08/15;699;109,28;35,84;76386,72;25052,16;51334,56
Austrália e Oceania;Fiji;Roupas;Online;H;01/02/17;605373561;02/03/17;2344;109,28;35,84;256152,32;84008,96;172143,36
África Subsaariana;Malawi;Bebidas;Online;H;28/01/12;686583554;22/02/12;4186;47,45;31,79;198625,7;133072,94;65552,76
Austrália e Oceania;Marshall Islands;Bebidas;Offline;M;03/08/15;666678130;21/09/15;3729;47,45;31,79;176941,05;118544,91;58396,14
América Central e o Caribe;Grenada;Comida para bebê;Online;M;23/06/13;641018617;30/06/13;508;255,28;159,42;129682,24;80985,36;48696,88
Europa;Luxembourg;Carne;Online;C;03/08/11;775278842;22/09/11;1093;421,89;364,69;461125,77;398606,17;62519,6
África Subsaariana;Zimbabwe;Carne;Offline;M;30/10/16;855445134;06/12/16;4080;421,89;364,69;1721311,2;1487935,2;233376
Ásia;China;Vegetais;Online;H;05/09/10;737816321;21/09/10;5100;154,06;90,93;785706;463743;321963
América do Norte;United States of America;Bebidas;Online;L;13/07/13;799003732;14/07/13;1815;47,45;31,79;86121,75;57698,85;28422,9
África Subsaariana;Central African Republic;Vegetais;Online;L;09/10/12;585931193;21/11/12;8916;154,06;90,93;1373598,96;810731,88;562867,08
América Central e o Caribe;Antigua and Barbuda ;Vegetais;Online;M;03/01/12;165835034;05/01/12;3127;154,06;90,93;481745,62;284338,11;197407,51
América Central e o Caribe;Guatemala;Comida para bebê;Offline;H;08/02/12;576264083;14/03/12;8203;255,28;159,42;2094061,84;1307722,26;786339,58
Oriente Médio e Norte da África;Qatar;Roupas;Offline;L;03/01/15;675079667;07/01/15;9930;109,28;35,84;1085150,4;355891,2;729259,2
Oriente Médio e Norte da África;Israel;Cuidados Pessoais;Online;L;13/05/12;290455615;28/05/12;1126;81,73;56,67;92027,98;63810,42;28217,56
Ásia;Thailand;Snacks;Offline;L;13/01/12;670878255;15/02/12;6639;152,58;97,44;1012978,62;646904,16;366074,46
Ásia;Singapore;Cereais;Online;M;30/07/11;435146415;12/08/11;8349;205,7;117,11;1717389,3;977751,39;739637,91
Ásia;North Korea;Snacks;Online;C;13/03/17;522371423;08/04/17;167;152,58;97,44;25480,86;16272,48;9208,38
Europa;Austria;Artigos Escritório;Online;L;23/03/17;141977107;18/04/17;3036;651,21;524,96;1977073,56;1593778,56;383295
Ásia;Japan;Comida para bebê;Offline;L;16/03/16;823699796;19/04/16;9929;255,28;159,42;2534675,12;1582881,18;951793,94
África Subsaariana;Zimbabwe;Bebidas;Offline;L;18/12/15;567588317;26/12/15;851;47,45;31,79;40379,95;27053,29;13326,66
Europa;Lithuania;Frutas;Offline;H;25/10/11;594003999;16/11/11;7838;9,33;6,92;73128,54;54238,96;18889,58
Europa;Luxembourg;Comida para bebê;Offline;H;30/06/11;393620669;02/08/11;9958;255,28;159,42;2542078,24;1587504,36;954573,88
África Subsaariana;Central African Republic;Cosméticos;Offline;H;27/03/16;877424657;10/04/16;8309;437,2;263,33;3632694,8;2188008,97;1444685,83
Europa;Norway;Eletrodomésticos;Offline;M;23/12/16;326714789;21/01/17;1021;668,27;502,54;682303,67;513093,34;169210,33
África Subsaariana;Democratic Republic of the Congo;Frutas;Offline;M;18/04/13;243102395;18/04/13;8256;9,33;6,92;77028,48;57131,52;19896,96
Austrália e Oceania;New Zealand;Eletrodomésticos;Offline;L;08/03/17;398511302;20/04/17;7205;668,27;502,54;4814885,35;3620800,7;1194084,65
Europa;Ukraine;Cuidados Pessoais;Offline;M;03/06/11;185177838;04/07/11;7092;81,73;56,67;579629,16;401903,64;177725,52
Ásia;Taiwan;Cuidados Pessoais;Offline;H;30/11/13;865650832;31/12/13;4173;81,73;56,67;341059,29;236483,91;104575,38
Europa;Italy;Cereais;Offline;C;11/05/13;622791612;31/05/13;6733;205,7;117,11;1384978,1;788501,63;596476,47
Europa;Finland;Cuidados Pessoais;Online;L;13/11/10;409774005;27/11/10;89;81,73;56,67;7273,97;5043,63;2230,34
África Subsaariana;Sudan;Artigos Escritório;Online;H;09/03/16;800084340;21/04/16;1591;651,21;524,96;1036075,11;835211,36;200863,75
Europa;Croatia;Snacks;Offline;M;19/08/13;637521445;12/09/13;5618;152,58;97,44;857194,44;547417,92;309776,52
África Subsaariana;Mauritania;Bebidas;Online;L;19/04/11;186196649;28/05/11;8581;47,45;31,79;407168,45;272789,99;134378,46
Austrália e Oceania;New Zealand;Comida para bebê;Offline;L;20/07/14;680533778;25/07/14;3923;255,28;159,42;1001463,44;625404,66;376058,78
Oriente Médio e Norte da África;Pakistan;Bebidas;Online;L;08/09/14;275269162;15/09/14;7117;47,45;31,79;337701,65;226249,43;111452,22
Europa;Poland;Eletrodomésticos;Online;C;04/06/15;795451629;19/06/15;668;668,27;502,54;446404,36;335696,72;110707,64
Europa;Lithuania;Cereais;Offline;M;19/12/13;986442506;01/01/14;9113;205,7;117,11;1874544,1;1067223,43;807320,67
Oriente Médio e Norte da África;Pakistan;Cereais;Offline;M;18/05/12;563915622;10/06/12;4019;205,7;117,11;826708,3;470665,09;356043,21
Austrália e Oceania;East Timor;Cosméticos;Offline;C;12/10/13;663857305;13/11/13;8984;437,2;263,33;3927804,8;2365756,72;1562048,08
Austrália e Oceania;Marshall Islands;Frutas;Online;L;02/01/11;692566382;14/01/11;4638;9,33;6,92;43272,54;32094,96;11177,58
América Central e o Caribe;Cuba;Eletrodomésticos;Offline;L;02/02/13;576654183;03/02/13;3642;668,27;502,54;2433839,34;1830250,68;603588,66
América do Norte;Greenland;Comida para bebê;Offline;H;19/03/11;313044536;14/04/11;5689;255,28;159,42;1452287,92;906940,38;545347,54
Europa;Luxembourg;Cuidados Pessoais;Offline;C;03/10/12;418973767;27/10/12;2503;81,73;56,67;204570,19;141845,01;62725,18
Oriente Médio e Norte da África;Israel;Bebidas;Online;C;23/10/14;581990706;15/11/14;2838;47,45;31,79;134663,1;90220,02;44443,08
África Subsaariana;Djibouti;Comida para bebê;Online;H;12/07/15;109956681;24/07/15;7480;255,28;159,42;1909494,4;1192461,6;717032,8
Europa;Bulgaria;Cereais;Online;L;06/05/10;181045520;27/05/10;4247;205,7;117,11;873607,9;497366,17;376241,73
Ásia;Mongolia;Vegetais;Online;C;27/11/10;693743550;09/01/11;2988;154,06;90,93;460331,28;271698,84;188632,44
América Central e o Caribe;Dominican Republic;Roupas;Offline;L;26/12/10;716849601;31/12/10;582;109,28;35,84;63600,96;20858,88;42742,08
Oriente Médio e Norte da África;Yemen;Cosméticos;Online;L;30/12/12;739474999;01/01/13;5940;437,2;263,33;2596968;1564180,2;1032787,8
Austrália e Oceania;Federated States of Micronesia;Cuidados Pessoais;Online;M;21/08/16;421043574;07/09/16;5005;81,73;56,67;409058,65;283633,35;125425,3
Europa;Finland;Cuidados Pessoais;Online;M;03/02/15;841291654;20/03/15;5751;81,73;56,67;470029,23;325909,17;144120,06
América Central e o Caribe;The Bahamas;Cereais;Offline;L;19/12/13;450268065;04/01/14;3181;205,7;117,11;654331,7;372526,91;281804,79
América Central e o Caribe;Grenada;Carne;Online;L;12/05/12;918334138;12/06/12;4334;421,89;364,69;1828471,26;1580566,46;247904,8
África Subsaariana;Sao Tome and Principe;Carne;Offline;M;28/03/14;386163699;19/04/14;3275;421,89;364,69;1381689,75;1194359,75;187330
América Central e o Caribe;El Salvador;Cuidados Pessoais;Offline;C;11/01/17;214743077;18/02/17;6103;81,73;56,67;498798,19;345857,01;152941,18
Europa;Sweden;Comida para bebê;Online;M;21/06/15;935371100;06/07/15;5949;255,28;159,42;1518660,72;948389,58;570271,14
Ásia;Turkmenistan;Cosméticos;Offline;H;29/11/12;899659097;03/12/12;7974;437,2;263,33;3486232,8;2099793,42;1386439,38
Europa;Monaco;Vegetais;Online;H;01/01/10;329530894;13/02/10;4369;154,06;90,93;673088,14;397273,17;275814,97
Oriente Médio e Norte da África;Turkey;Carne;Online;H;06/01/16;867222821;06/02/16;9359;421,89;364,69;3948468,51;3413133,71;535334,8
África Subsaariana;Mozambique;Bebidas;Online;M;14/10/14;625283706;23/10/14;4199;47,45;31,79;199242,55;133486,21;65756,34
Oriente Médio e Norte da África;Yemen;Artigos Escritório;Offline;C;09/12/13;936574876;09/01/14;2173;651,21;524,96;1415079,33;1140738,08;274341,25
Ásia;Philippines;Cereais;Offline;M;19/10/10;504270160;25/11/10;3601;205,7;117,11;740725,7;421713,11;319012,59
África Subsaariana;Democratic Republic of the Congo;Cuidados Pessoais;Offline;M;02/05/11;351855885;02/06/11;830;81,73;56,67;67835,9;47036,1;20799,8
Austrália e Oceania;Fiji;Snacks;Online;H;17/03/11;673130881;23/03/11;3241;152,58;97,44;494511,78;315803,04;178708,74
Europa;Macedonia;Artigos Escritório;Offline;H;24/09/14;382206475;13/10/14;2244;651,21;524,96;1461315,24;1178010,24;283305
Oriente Médio e Norte da África;Tunisia ;Cereais;Online;H;01/12/15;263506495;14/12/15;6283;205,7;117,11;1292413,1;735802,13;556610,97
Europa;Liechtenstein;Cereais;Offline;L;02/06/17;721767270;18/07/17;5829;205,7;117,11;1199025,3;682634,19;516391,11
Oriente Médio e Norte da África;Qatar;Cosméticos;Online;M;04/08/11;432037627;18/08/11;8390;437,2;263,33;3668108;2209338,7;1458769,3
Austrália e Oceania;Tonga;Carne;Offline;C;29/07/14;389678895;24/08/14;3499;421,89;364,69;1476193,11;1276050,31;200142,8
Europa;Belgium;Carne;Online;L;26/01/17;760364902;24/02/17;7726;421,89;364,69;3259522,14;2817594,94;441927,2
África Subsaariana;Chad;Frutas;Offline;C;05/11/10;430081975;09/12/10;9669;9,33;6,92;90211,77;66909,48;23302,29
Ásia;Thailand;Comida para bebê;Online;H;26/03/15;155128943;05/05/15;4957;255,28;159,42;1265422,96;790244,94;475178,02
Europa;Iceland;Roupas;Offline;H;07/10/12;312117135;16/10/12;1251;109,28;35,84;136709,28;44835,84;91873,44
América Central e o Caribe;Saint Lucia;Carne;Offline;L;22/07/13;447970378;02/09/13;3245;421,89;364,69;1369033,05;1183419,05;185614
Ásia;Japan;Cosméticos;Offline;C;16/08/13;629925000;18/08/13;7661;437,2;263,33;3349389,2;2017371,13;1332018,07
Ásia;India;Cuidados Pessoais;Offline;L;05/11/13;995529830;17/12/13;8254;81,73;56,67;674599,42;467754,18;206845,24
Austrália e Oceania;Vanuatu;Artigos Escritório;Online;L;01/03/16;402646195;28/03/16;812;651,21;524,96;528782,52;426267,52;102515
África Subsaariana;Chad;Carne;Offline;M;25/03/12;479447925;04/04/12;8150;421,89;364,69;3438403,5;2972223,5;466180
África Subsaariana;Malawi;Cosméticos;Offline;H;20/06/17;674421346;29/06/17;5118;437,2;263,33;2237589,6;1347722,94;889866,66
Europa;Finland;Cosméticos;Online;L;18/04/14;506365287;16/05/14;3596;437,2;263,33;1572171,2;946934,68;625236,52
Oriente Médio e Norte da África;Turkey;Roupas;Online;C;28/06/16;914391076;04/08/16;7494;109,28;35,84;818944,32;268584,96;550359,36
